% Device,CC1606011
% File name,CC1606011_20200811_122016
% Cast time (UTC),2020-08-11 12:20:16
% Cast time (local),2020-08-11 08:20:16
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.4884485
% Start longitude,-74.0466102
% Start altitude,-23.1299991607666
% Start GPS horizontal error(Meter),4.28000020980835
% Start GPS vertical error(Meter),6.75
% Start GPS number of satellites,6
% End latitude,40.488527
% End longitude,-74.0466998
% End altitude,-51.229999542236328
% End GPS horizontal error(Meter),17.930000305175781
% End GPS vertical error(Meter),29.1299991607666
% End GPS number of satellites,6
% Cast duration (Seconds),93.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2016-02-19
% Temperature calibration date,2016-02-17
% Pressure calibration date,2016-02-12
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15073388197590812,26.189845244647692,39720.726879989132,38797.467241945073,24.672621531943509,1526.230984226806,1015.2089466585654
0.44999999999999996,0.452182111487805,26.169780731201172,40030.71875,39115.585583886386,24.897153813382051,1526.4262515380028,1015.3847330551298
0.74999999999999989,0.753602857201426,26.176080585381,40026.944272694629,39107.082659363288,24.891088697912647,1526.4400047032323,1015.379598350665
1.05,1.0550244541547638,26.177108764648441,40025.50390625,39104.8897372436,24.889472995451825,1526.4458106307775,1015.3793842981058
1.35,1.356446627876603,26.177677154541016,40017.5078125,39096.643338910537,24.883579736230239,1526.4459682624295,1015.3760988143113
1.65,1.6578690961052227,26.173608779907223,40012.8125,39095.163946802408,24.882459674788439,1526.4400492560578,1015.3777864214554
1.9500000000000002,1.9592906467811648,26.164440155029293,40007.3515625,39096.833114245863,24.883555294234391,1526.42421881023,1015.3826668802243
2.25,2.2607092046507051,26.153541564941406,40020.36328125,39117.881242340372,24.898339144785371,1526.4187616395132,1015.3983363339762
2.55,2.5620994871885245,26.135255652651637,40330.968591828656,39435.579305387982,25.122837133292204,1526.6183311644959,1015.5735881744926
2.85,2.8634280184191669,26.045925140380859,40670.65625,39837.319176949051,25.406971424176767,1526.7103572688,1015.8149427390154
3.15,3.1646903378658053,25.919204711914062,40888.3828125,40150.256709462061,25.628393463540156,1526.6452085871351,1016.0204267037163
