% Device,CC1606011
% File name,CC1606011_20200811_122016
% Cast time (UTC),2020-08-11 12:20:16
% Cast time (local),2020-08-11 08:20:16
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.4884485
% Start longitude,-74.0466102
% Start altitude,-23.1299991607666
% Start GPS horizontal error(Meter),4.28000020980835
% Start GPS vertical error(Meter),6.75
% Start GPS number of satellites,6
% End latitude,40.488527
% End longitude,-74.0466998
% End altitude,-51.229999542236328
% End GPS horizontal error(Meter),17.930000305175781
% End GPS vertical error(Meter),29.1299991607666
% End GPS number of satellites,6
% Cast duration (Seconds),93.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2016-02-19
% Temperature calibration date,2016-02-17
% Pressure calibration date,2016-02-12
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
36.8,0,26.284374237060547,43.117740631103516
37,0.05434755722962592,26.284152984619141,30897.5625
37.2,0.15656575044557819,26.27850341796875,37508.5703125
37.4,0.17262042284854395,26.26057243347168,38542.1328125
37.6,0.15721814792484778,26.24267578125,39698.69140625
37.8,0.15891334614568464,26.235185623168945,37394.40625
38,0.1445372247864416,26.230178833007812,36304.140625
38.2,0.092548188388137831,26.225696563720703,39137.01953125
38.4,0.039193490368738537,26.218412399291992,33226.0234375
38.6,-0.0056143784270261676,26.206125259399414,3688.4228515625
38.8,0.00018543405162141369,26.198198318481445,3446.005615234375
39,0.018288598886227803,26.186166763305664,5705.91455078125
39.2,0.044600992236457415,26.175685882568359,10499.9609375
39.4,0.057579111294696617,26.178310394287109,40419.83984375
39.6,0.078077906012113729,26.180545806884766,39878.59375
39.8,0.099946177047892,26.186393737792969,39871.9453125
40,0.082833010400563012,26.19727897644043,39891.74609375
40.2,0.082135439761536588,26.202327728271484,39906.3359375
40.4,0.13238029008198105,26.202402114868164,39873.51171875
40.6,0.20177492067586478,26.203840255737305,39837.56640625
40.8,0.21338451709005923,26.2088623046875,39843.87109375
41,0.18977778202232187,26.212169647216797,39856.31640625
41.2,0.11795708821434836,26.215080261230469,39873.515625
41.4,0.032119289303837562,26.219316482543945,34860.578125
41.6,-0.0010613822263039197,26.212419509887695,5845.29296875
41.8,0.0088382761385759068,26.203617095947266,8533.3310546875
42,0.0033523067568719256,26.202672958374023,4946.5625
42.2,-0.0089734148220959042,26.202077865600586,2755.531005859375
42.4,-0.011726153612979573,26.200531005859375,2312.652587890625
42.6,-0.013792246896048965,26.19880485534668,2094.075927734375
42.8,-0.014832186614667009,26.19798469543457,2206.262939453125
43,-0.0059586818142403075,26.197841644287109,2745.780517578125
43.2,0.027873433520852586,26.195560455322266,32839.58203125
43.4,0.0610255790683496,26.194158554077148,40654.3515625
43.6,0.064771177069458119,26.193990707397461,52719.3984375
43.8,0.058260007797619195,26.194486618041992,40025.125
44,0.073972311120993339,26.193168640136719,39920.828125
44.2,0.096865782046908322,26.191932678222656,39930.90625
44.4,0.085908583111981685,26.190044403076172,39930.4453125
44.6,0.078027937521783386,26.190555572509766,39933.1484375
44.8,0.083824888977481748,26.189140319824219,39935.359375
45,0.055086432413162356,26.186668395996094,41549.34765625
45.2,0.007886748431849,26.181716918945312,11760.7353515625
45.4,-0.013325310427392267,26.173316955566406,2310.87890625
45.6,-0.019497925316908749,26.167543411254883,1819.7818603515625
45.8,-0.013358604781618766,26.162822723388672,1650.16259765625
46,-0.013715713689689935,26.158609390258789,1549.1656494140625
46.2,-0.016125129726665577,26.158914566040039,1433.033935546875
46.4,-0.0055426405512406518,26.162775039672852,10411.9287109375
46.6,-0.012737594307942857,26.15922737121582,1678.23681640625
46.8,-0.0038621821588851191,26.148237228393555,1461.671630859375
47,0.019714119577576739,26.142452239990234,13003.4423828125
47.2,0.047735497302806351,26.144678115844727,47071.4140625
47.4,0.082594719876670553,26.149627685546875,39949.65234375
47.6,0.13591803089047438,26.154359817504883,39938.2734375
47.8,0.17180531437742452,26.169086456298828,39935.2890625
48,0.1861500487310721,26.178756713867188,39944.0078125
48.2,0.18579389349731912,26.180021286010742,39937.1796875
48.4,0.13277870353456045,26.1813907623291,39951.6796875
48.6,0.06130228615481137,26.182765960693359,39724.3203125
48.8,0.0058933736578730134,26.195398330688477,10640.2470703125
49,-0.010190778402051848,26.186006546020508,3290.868408203125
49.2,-0.0071280112114902039,26.171913146972656,2737.1572265625
49.4,-0.0057780430931924087,26.169893264770508,2302.689453125
49.6,-0.010922597069622952,26.16905403137207,1932.873046875
49.8,-0.011620167708649376,26.168071746826172,1873.57666015625
50,-0.012319645696310388,26.157159805297852,1877.482421875
50.2,-0.013702908168832906,26.146282196044922,1744.66796875
50.4,-0.018165585009032981,26.144424438476562,1591.7816162109375
50.6,0.037553355887585127,26.144914627075195,8118.97509765625
50.8,0.11993893801955302,26.146354675292969,39796.453125
51,0.15753520588150316,26.157171249389648,39994.765625
51.2,0.16128175755692809,26.166755676269531,39973.10546875
51.4,0.14792988241350713,26.172832489013672,39960.8828125
51.6,0.147913235236393,26.176246643066406,39971.59375
51.8,0.15781575462422204,26.17774772644043,39973.4609375
52,0.15027747811361181,26.179412841796875,39952.0546875
52.2,0.11880388360983929,26.181856155395508,39971.05078125
52.4,0.079467244367295464,26.183048248291016,39999.48828125
52.6,0.060303677939694822,26.181983947753906,41665.71875
52.8,0.039089711731818966,26.174198150634766,40016.58203125
53,0.013772084940448792,26.169406890869141,14510.4794921875
53.2,-0.001971605388520814,26.166275024414062,2142.569580078125
53.4,-0.0057504977438558313,26.157800674438477,1881.40087890625
53.6,-0.0071308991934309063,26.145658493041992,1758.82568359375
53.8,-0.0027034240560901424,26.142223358154297,1568.544677734375
54,0.02189998491913947,26.142707824707031,15290.3173828125
54.2,0.046841948276695078,26.147066116333008,40012.86328125
54.4,0.048196684766573128,26.148902893066406,59538.3359375
54.6,0.068353110404402173,26.149557113647461,50476.51171875
54.8,0.1056079628610771,26.15074348449707,40020.7734375
55,0.11995269721472646,26.160764694213867,40013.1171875
55.2,0.11617475853370607,26.168560028076172,40015.75390625
55.4,0.1243654325235859,26.173341751098633,40014.40234375
55.6,0.14691653436990926,26.175848007202148,40017.6640625
55.8,0.14690179454142971,26.175994873046875,40013.4453125
56,0.11576961544293063,26.179014205932617,40023.71484375
56.2,0.056602272465035242,26.178874969482422,39522.4296875
56.4,-0.003932639482584932,26.172073364257812,8391.6787109375
56.6,-0.0087348243794256319,26.167932510375977,3205.537841796875
56.8,-0.0046497183216747118,26.163211822509766,2615.021240234375
57,0.0073022471721095883,26.16209602355957,5067.4287109375
57.2,0.026093011188844883,26.16206169128418,24275.916015625
57.4,0.040096330137219027,26.161359786987305,19272.8828125
57.6,0.013410180701805885,26.163236618041992,12146.8056640625
57.8,0.0034781816570159663,26.166614532470703,1718.5887451171875
58,0.0051714725292200114,26.165901184082031,1599.174560546875
58.2,0.031826234959039468,26.163867950439453,18216.412109375
58.4,0.074210901563665388,26.163417816162109,40205.21875
58.6,0.12719184349787938,26.166479110717773,40016.9140625
58.8,0.14427171579098186,26.170026779174805,40015.40625
59,0.1288703945416021,26.173959732055664,40023.3046875
59.2,0.11415095042845458,26.171440124511719,40021.0625
59.4,0.087124339262082628,26.170547485351562,40019.58203125
59.6,0.079586062751474174,26.168041229248047,40016.703125
59.8,0.094275073533344411,26.1657772064209,40019.1171875
60,0.12502872817507971,26.16510009765625,40026.1328125
60.2,0.15578619751407885,26.167339324951172,40017.19921875
60.4,0.23338910294927118,26.167251586914062,40026.71484375
60.6,0.403651004966493,26.169780731201172,40030.71875
60.8,0.6026366237195564,26.175010681152344,40023.44140625
61,0.84368118717476648,26.176963806152344,40029.8359375
61.2,1.1155036818433572,26.177108764648438,40025.50390625
61.4,1.3969039276716142,26.177677154541016,40017.5078125
61.6,1.6742005129163768,26.173608779907227,40012.8125
61.8,1.9214115345014697,26.164440155029297,40007.3515625
62,2.1662345555982832,26.153541564941406,40020.36328125
62.2,2.4356757254988057,26.144855499267578,40219.02734375
62.4,2.6924721276380996,26.12518310546875,40448.421875
62.6,2.9256746271895011,26.045925140380859,40670.65625
62.8,3.1633260174269395,25.919204711914062,40888.3828125
63,3.4047406065169152,25.770919799804688,40939.83984375
63.2,3.6276930145155841,25.665851593017578,41037.203125
63.4,3.8383373017867122,25.588184356689453,41177.44140625
63.6,4.0554808795241506,25.519207000732422,41288.62109375
63.8,4.2791227940535794,25.4721622467041,41344.7265625
64,4.4928541250869163,25.441799163818359,41368.87109375
64.2,4.7216325294845092,25.419921875,41391.52734375
64.4,4.9586249307693109,25.408256530761719,41416.4453125
64.6,5.1932217021712983,25.4023380279541,41486.91796875
64.8,5.4182493054824672,25.390071868896484,41660.0703125
65,5.64430496970672,25.365823745727539,41882.328125
65.2,5.8758356781814634,25.320070266723633,41974.20703125
65.4,6.1080568468612828,25.268903732299805,42024.4296875
65.6,6.3310426334610259,25.212459564208984,42078.203125
65.8,6.54958811244358,25.136983871459961,42144.6875
66,6.7739510047562135,25.052192687988281,42216.7421875
66.2,6.9942111901596657,24.975967407226562,42249.8671875
66.4,7.2175555583023776,24.921201705932617,42269.37890625
66.6,7.4398756802292674,24.877281188964844,42318.8671875
66.8,7.6656194929520574,24.837074279785156,42404.7890625
67,7.9016305633652753,24.7889404296875,42497.3828125
67.2,8.1236188066300574,24.721633911132812,42611.890625
67.4,8.3497154788499159,24.663900375366211,42684.734375
67.6,8.5700042744828622,24.606893539428711,42705.58203125
67.8,8.7800315344712754,24.558666229248047,42737.41796875
68,9.0003241448014872,24.510601043701172,42800.55859375
68.2,9.2158331247606036,24.459247589111328,42851.8125
68.4,9.4357881343828076,24.411163330078125,42936.56640625
68.6,9.6513028363878224,24.336071014404297,43044.6484375
68.8,9.86921889032155,24.16668701171875,43065.21484375
69,10.08268891459219,23.925514221191406,43057.6484375
69.2,10.29958262965873,23.705881118774414,43050.12109375
69.4,10.523667049070971,23.56379508972168,43059.1328125
69.6,10.690960162941222,23.461517333984375,43064.0078125
69.8,10.731996334062448,23.403488159179688,43067.8125
70,10.726853687434652,23.375886917114258,43074.5703125
70.2,10.72820556290158,23.364723205566406,43083
70.4,10.724424763197613,23.36302375793457,43075.328125
70.6,10.708671536125479,23.362590789794922,43099.95703125
70.8,10.681624897798464,23.36296272277832,43110.0390625
71,10.658003857615979,23.367197036743164,43110.9140625
71.2,10.600164982960839,23.369731903076172,43104.3671875
71.4,10.469110623686557,23.361900329589844,43079.484375
71.6,10.302131352913253,23.349449157714844,43063.4765625
71.8,10.106761197740534,23.354703903198242,43058.9609375
72,9.8997600306049254,23.408182144165039,43042.94140625
